archetype,scenario,parameter,direction,n_cities,mean_misting_hours_h,mean_water_use_L_per_module,mean_pv_energy_Wh,mean_load_energy_Wh,mean_autonomy_ratio,baseline_misting_hours_h,baseline_water_use_L_per_module,baseline_load_energy_Wh,baseline_autonomy_ratio,pct_change_misting_hours,pct_change_water_use,pct_change_load_energy,pct_change_autonomy
Hot–Dry Inland,Pump_plus10pct,Pump power,+10%,21,501.9047619047619,30151.799450549453,92909.82031972348,73581.30231227107,1.4163073837372306,501.9047619047619,30151.799450549453,67299.67742673993,1.5472083995963668,0.0,0.0,9.33381128367086,-8.460464401129505
Hot–Dry Inland,RHmax_minus10pct,RHmax,-10%,21,500.8095238095238,29471.864926739927,92909.82031972348,65876.57574023199,1.5829805423329173,501.9047619047619,30151.799450549453,67299.67742673993,1.5472083995963668,-0.21821631878558576,-2.2550379619122074,-2.1145743054371726,2.3120442434181894
Hot–Dry Inland,RHmax_plus10pct,RHmax,+10%,21,502.0952380952381,30687.26810689311,92909.82031972348,68416.37998459874,1.521334788468226,501.9047619047619,30151.799450549453,67299.67742673993,1.5472083995963668,0.03795066413661376,1.775909451844996,1.6592985294385854,-1.6722770594375431
Hot–Dry Inland,Tset_minus10pct,Tset,-10%,21,635.1904761904761,45506.61868131868,92909.82031972348,100088.59844322343,0.9717345158044473,501.9047619047619,30151.799450549453,67299.67742673993,1.5472083995963668,26.555977229601503,50.925050944146605,48.72076995045981,-37.194335549241345
Hot–Dry Inland,Tset_plus10pct,Tset,+10%,21,271.2857142857143,13659.76318681318,92909.82031972348,31557.554258241744,4.078063297350013,501.9047619047619,30151.799450549453,67299.67742673993,1.5472083995963668,-45.948766603415564,-54.69668996301228,-53.108907107921596,163.57556605909662
Humid Black Sea,Baseline,Baseline,baseline,7,11.428571428571429,465.18049450549455,76094.40252995408,2509.6974587912086,39.67511839123059,11.428571428571429,465.18049450549455,2509.6974587912086,39.67511839123059,0.0,0.0,0.0,0.0
Humid Black Sea,Flow_minus10pct,Water flow rate,-10%,7,11.428571428571429,418.6624450549451,76094.40252995408,2509.6974587912086,39.67511839123059,11.428571428571429,465.18049450549455,2509.6974587912086,39.67511839123059,0.0,-9.999999999999993,0.0,0.0
Humid Black Sea,Flow_plus10pct,Water flow rate,+10%,7,11.428571428571429,511.698543956044,76094.40252995408,2509.6974587912086,39.67511839123059,11.428571428571429,465.18049450549455,2509.6974587912086,39.67511839123059,0.0,9.999999999999993,0.0,0.0
Humid Black Sea,Gmin_minus10pct,Gmin,-10%,7,11.428571428571429,465.18049450549455,76094.40252995408,2509.6974587912086,39.67511839123059,11.428571428571429,465.18049450549455,2509.6974587912086,39.67511839123059,0.0,0.0,0.0,0.0
Humid Black Sea,Gmin_plus10pct,Gmin,+10%,7,11.428571428571429,465.18049450549455,76094.40252995408,2509.6974587912086,39.67511839123059,11.428571428571429,465.18049450549455,2509.6974587912086,39.67511839123059,0.0,0.0,0.0,0.0
Humid Black Sea,PVarea_2m2,PV area design,2 m²,7,11.428571428571429,465.18049450549455,152188.80505990816,2509.6974587912086,79.35023678246118,11.428571428571429,465.18049450549455,2509.6974587912086,39.67511839123059,0.0,0.0,0.0,100.0
Humid Black Sea,PVarea_3m2,PV area design,3 m²,7,11.428571428571429,465.18049450549455,228283.20758986223,2509.6974587912086,119.02535517369178,11.428571428571429,465.18049450549455,2509.6974587912086,39.67511839123059,0.0,0.0,0.0,200.00000000000003
Humid Black Sea,PVarea_minus10pct,PV area,-10%,7,11.428571428571429,465.18049450549455,68484.96227695867,2509.6974587912086,35.707606552107535,11.428571428571429,465.18049450549455,2509.6974587912086,39.67511839123059,0.0,0.0,0.0,-9.999999999999991
Humid Black Sea,PVarea_plus10pct,PV area,+10%,7,11.428571428571429,465.18049450549455,83703.84278294949,2509.6974587912086,43.64263023035365,11.428571428571429,465.18049450549455,2509.6974587912086,39.67511839123059,0.0,0.0,0.0,10.000000000000009
Humid Black Sea,Pump_minus10pct,Pump power,-10%,7,11.428571428571429,465.18049450549455,76094.40252995408,2412.784855769231,40.109972143011156,11.428571428571429,465.18049450549455,2509.6974587912086,39.67511839123059,0.0,0.0,-3.86152532778415,1.0960364314292286
Humid Black Sea,Pump_plus10pct,Pump power,+10%,7,11.428571428571429,465.18049450549455,76094.40252995408,2606.610061813187,39.28300055659747,11.428571428571429,465.18049450549455,2509.6974587912086,39.67511839123059,0.0,0.0,3.861525327784168,-0.9883217757953531
Humid Black Sea,RHmax_minus10pct,RHmax,-10%,7,11.285714285714286,444.92857142857144,76094.40252995408,2466.648809523809,39.80374302006254,11.428571428571429,465.18049450549455,2509.6974587912086,39.67511839123059,-1.2499999999999956,-4.353562394840246,-1.7152923798286737,0.32419469442687365
Humid Black Sea,RHmax_plus10pct,RHmax,+10%,7,11.428571428571429,478.28421578421575,76094.40252995408,2536.996878121878,39.59224172445244,11.428571428571429,465.18049450549455,2509.6974587912086,39.67511839123059,0.0,2.8169111631928967,1.0877573802787448,-0.20888826584186387
